,contract_id,firm_contract_type,short_name,long_name,holiday_calendar_id,delivery_code,trading_code,exchange_id,type,trading_months,spot_trading_months,notional_maturity_start,notional_maturity_end,notional_coupon,contract_size,currency,quote_type,price_dec_places,price_tick_size,units_in_quote,tick_value,back_office_code,last_trading_date_rule,expiry_date_rule,root_ric_symbol,min_fluctuation,notional_maturity_units,max_contracts,default_executing_broker,default_clearing_broker,underlying_instr,underlying_instr_string,future_code,domicile,underlying_ric,contract_type,mds_date,active,version_number,version_user_id,version_date,default_executing_ny,default_clearing_ny,default_executing_tk,default_clearing_tk,default_executing_hk,default_clearing_hk,min_ctd_bonds,max_ctd_bonds,duration,coupon_freq,price_for_tick,margined,settlement_type,expiry_time,contract_multiplier,cash_in_lieu,related_contfuture_code,fut_expiry_year,strike_divisor,root_ric_override
0,wqjXQqD6DR,848,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,848,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,832.4063869654663,wqjXQqD6DR,wqjXQqD6DR,848,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,832.4063869654663,848,848,wqjXQqD6DR,wqjXQqD6DR,848,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,2017-12-12,wqjXQqD6DR,848,wqjXQqD6DR,2017-12-12,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,848,848,wqjXQqD6DR,848,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,wqjXQqD6DR,848,848,wqjXQqD6DR
1,r,434,r,r,r,r,r,r,r,r,434,r,r,r,969.945442914095,r,r,434,r,r,r,r,r,r,r,969.945442914095,434,434,r,r,434,r,r,r,r,r,2020-11-23,r,434,r,2020-11-23,r,r,r,r,r,r,434,434,r,434,r,r,r,r,r,r,r,434,434,r
2,HHx,15,HHx,HHx,HHx,HHx,HHx,HHx,HHx,HHx,15,HHx,HHx,HHx,964.4713385849899,HHx,HHx,15,HHx,HHx,HHx,HHx,HHx,HHx,HHx,964.4713385849899,15,15,HHx,HHx,15,HHx,HHx,HHx,HHx,HHx,2015-08-20,HHx,15,HHx,2015-08-20,HHx,HHx,HHx,HHx,HHx,HHx,15,15,HHx,15,HHx,HHx,HHx,HHx,HHx,HHx,HHx,15,15,HHx
3,yWuM,3,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,3,yWuM,yWuM,yWuM,604.1901930990915,yWuM,yWuM,3,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,604.1901930990915,3,3,yWuM,yWuM,3,yWuM,yWuM,yWuM,yWuM,yWuM,2020-11-20,yWuM,3,yWuM,2020-11-20,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,3,3,yWuM,3,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,yWuM,3,3,yWuM
4,UEoDbjEC,543,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,543,UEoDbjEC,UEoDbjEC,UEoDbjEC,786.9552228572347,UEoDbjEC,UEoDbjEC,543,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,786.9552228572347,543,543,UEoDbjEC,UEoDbjEC,543,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,2020-09-08,UEoDbjEC,543,UEoDbjEC,2020-09-08,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,543,543,UEoDbjEC,543,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,UEoDbjEC,543,543,UEoDbjEC
5,Nk,704,Nk,Nk,Nk,Nk,Nk,Nk,Nk,Nk,704,Nk,Nk,Nk,307.29631824314316,Nk,Nk,704,Nk,Nk,Nk,Nk,Nk,Nk,Nk,307.29631824314316,704,704,Nk,Nk,704,Nk,Nk,Nk,Nk,Nk,2018-10-23,Nk,704,Nk,2018-10-23,Nk,Nk,Nk,Nk,Nk,Nk,704,704,Nk,704,Nk,Nk,Nk,Nk,Nk,Nk,Nk,704,704,Nk
6,F,460,F,F,F,F,F,F,F,F,460,F,F,F,225.75523310981905,F,F,460,F,F,F,F,F,F,F,225.75523310981905,460,460,F,F,460,F,F,F,F,F,2022-12-01,F,460,F,2022-12-01,F,F,F,F,F,F,460,460,F,460,F,F,F,F,F,F,F,460,460,F
7,F8RJvt0A,410,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,410,F8RJvt0A,F8RJvt0A,F8RJvt0A,967.2194151014407,F8RJvt0A,F8RJvt0A,410,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,967.2194151014407,410,410,F8RJvt0A,F8RJvt0A,410,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,2015-11-26,F8RJvt0A,410,F8RJvt0A,2015-11-26,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,410,410,F8RJvt0A,410,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,F8RJvt0A,410,410,F8RJvt0A
8,9x5i3Tee,626,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,626,9x5i3Tee,9x5i3Tee,9x5i3Tee,429.44846541355554,9x5i3Tee,9x5i3Tee,626,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,429.44846541355554,626,626,9x5i3Tee,9x5i3Tee,626,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,2017-05-25,9x5i3Tee,626,9x5i3Tee,2017-05-25,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,626,626,9x5i3Tee,626,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,9x5i3Tee,626,626,9x5i3Tee
9,Y4qWB,359,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,359,Y4qWB,Y4qWB,Y4qWB,291.90254188092945,Y4qWB,Y4qWB,359,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,291.90254188092945,359,359,Y4qWB,Y4qWB,359,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,2020-09-24,Y4qWB,359,Y4qWB,2020-09-24,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,359,359,Y4qWB,359,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,Y4qWB,359,359,Y4qWB
10,k8Ta,593,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,593,k8Ta,k8Ta,k8Ta,847.5701537642387,k8Ta,k8Ta,593,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,847.5701537642387,593,593,k8Ta,k8Ta,593,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,2022-07-09,k8Ta,593,k8Ta,2022-07-09,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,593,593,k8Ta,593,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,k8Ta,593,593,k8Ta
11,CnsxjN7ITc,912,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,912,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,548.471936638785,CnsxjN7ITc,CnsxjN7ITc,912,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,548.471936638785,912,912,CnsxjN7ITc,CnsxjN7ITc,912,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,2017-09-22,CnsxjN7ITc,912,CnsxjN7ITc,2017-09-22,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,912,912,CnsxjN7ITc,912,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,CnsxjN7ITc,912,912,CnsxjN7ITc
